ID,LOINC_CODE,CODE_SET_ID,GROUP_IDENTIFIER,COMPONENT_NAME,REFERENCE_VALUE_TYPE,UNIT,REFERENCE_RANGE_LOW,REFERENCE_RANGE_HIGH,AUTO_MAP_TITLE,AUTO_ID,"truncate table taxonomy_staging.standard_references.lab;
INSERT INTO TAXONOMY_STAGING.STANDARD_REFERENCES.LAB
(ID, LOINC_CODE, CODE_SET_ID, GROUP_IDENTIFIER, COMPONENT_NAME, REFERENCE_VALUE_TYPE, UNIT, REFERENCE_RANGE_LOW, REFERENCE_RANGE_HIGH) VALUES"
16,6298-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Potassium [Moles/volume] in Blood,numeric,mmol/L,3.5,5.1,Potassium [Moles/volume] in Blood: mmol/L,16,"('16','6298-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Potassium [Moles/volume] in Blood','numeric','mmol/L','3.5','5.1'),"
17,32713-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Potassium [Moles/volume] in Arterial blood,numeric,mmol/L,3.5,5.1,Potassium [Moles/volume] in Arterial blood: mmol/L,17,"('17','32713-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Potassium [Moles/volume] in Arterial blood','numeric','mmol/L','3.5','5.1'),"
18,2823-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Potassium [Moles/volume] in Serum or Plasma,numeric,mmol/L,3.5,5.1,Potassium [Moles/volume] in Serum or Plasma: mmol/L,18,"('18','2823-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Potassium [Moles/volume] in Serum or Plasma','numeric','mmol/L','3.5','5.1'),"
19,2027-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,"Carbon dioxide, total [Moles/volume] in Venous blood",numeric,mmol/L,23,29,"Carbon dioxide, total [Moles/volume] in Venous blood: mmol/L",19,"('19','2027-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Carbon dioxide, total [Moles/volume] in Venous blood','numeric','mmol/L','23','29'),"
20,2026-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,"Carbon dioxide, total [Moles/volume] in Arterial blood",numeric,mmol/L,23,29,"Carbon dioxide, total [Moles/volume] in Arterial blood: mmol/L",20,"('20','2026-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Carbon dioxide, total [Moles/volume] in Arterial blood','numeric','mmol/L','23','29'),"
21,20565-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,"Carbon dioxide, total [Moles/volume] in Blood",numeric,mmol/L,23,29,"Carbon dioxide, total [Moles/volume] in Blood: mmol/L",21,"('21','20565-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Carbon dioxide, total [Moles/volume] in Blood','numeric','mmol/L','23','29'),"
22,2028-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",numeric,mmol/L,23,29,"Carbon dioxide, total [Moles/volume] in Serum or Plasma: mmol/L",22,"('22','2028-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Carbon dioxide, total [Moles/volume] in Serum or Plasma','numeric','mmol/L','23','29'),"
23,2075-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Chloride [Moles/volume] in Serum or Plasma,numeric,mmol/L,98,106,Chloride [Moles/volume] in Serum or Plasma: mmol/L,23,"('23','2075-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Chloride [Moles/volume] in Serum or Plasma','numeric','mmol/L','98','106'),"
24,77138-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,"Chloride [Moles/volume] in Serum, Plasma or Blood",numeric,mmol/L,98,107,"Chloride [Moles/volume] in Serum, Plasma or Blood: mmol/L",24,"('24','77138-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Chloride [Moles/volume] in Serum, Plasma or Blood','numeric','mmol/L','98','107'),"
25,2069-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Chloride [Moles/volume] in Blood,numeric,mmol/L,98,107,Chloride [Moles/volume] in Blood: mmol/L,25,"('25','2069-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Chloride [Moles/volume] in Blood','numeric','mmol/L','98','107'),"
26,6299-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CMP,Urea nitrogen [Mass/volume] in Blood {BUN},numeric,mg/dL,8,23,Urea nitrogen [Mass/volume] in Blood {BUN}: mg/dL,26,"('26','6299-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CMP','Urea nitrogen [Mass/volume] in Blood {BUN}','numeric','mg/dL','8','23'),"
