ID,LOINC_CODE,CODE_SET_ID,GROUP_IDENTIFIER,COMPONENT_NAME,REFERENCE_VALUE_TYPE,UNIT,REFERENCE_RANGE_LOW,REFERENCE_RANGE_HIGH,AUTO_MAP_TITLE,AUTO_ID,"truncate table taxonomy_staging.standard_references.lab;
INSERT INTO TAXONOMY_STAGING.STANDARD_REFERENCES.LAB
(ID, LOINC_CODE, CODE_SET_ID, GROUP_IDENTIFIER, COMPONENT_NAME, REFERENCE_VALUE_TYPE, UNIT, REFERENCE_RANGE_LOW, REFERENCE_RANGE_HIGH) VALUES"
124,10378-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Polychromasia [Presence] in Blood by Light microscopy,text,,,,Polychromasia [Presence] in Blood by Light microscopy: ,124,"('124','10378-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Polychromasia [Presence] in Blood by Light microscopy','text','','',''),"
125,15061-5,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Erythropoietin (EPO) [Units/volume] in Serum or Plasma,numeric,m[IU]/mL,,,Erythropoietin (EPO) [Units/volume] in Serum or Plasma: m[IU]/mL,125,"('125','15061-5','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Erythropoietin (EPO) [Units/volume] in Serum or Plasma','numeric','m[IU]/mL','',''),"
126,38892-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Anisocytosis [Presence] in Blood,text,,,,Anisocytosis [Presence] in Blood: ,126,"('126','38892-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Anisocytosis [Presence] in Blood','text','','',''),"
127,30341-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Erythrocyte sedimentation rate,numeric,mm/h,,,Erythrocyte sedimentation rate: mm/h,127,"('127','30341-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Erythrocyte sedimentation rate','numeric','mm/h','',''),"
128,15180-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Hypochromia [Presence] in Blood by Automated count,text,,,,Hypochromia [Presence] in Blood by Automated count: ,128,"('128','15180-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Hypochromia [Presence] in Blood by Automated count','text','','',''),"
129,4542-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Haptoglobin [Mass/volume] in Serum or Plasma,numeric,mg/dL,,,Haptoglobin [Mass/volume] in Serum or Plasma: mg/dL,129,"('129','4542-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Haptoglobin [Mass/volume] in Serum or Plasma','numeric','mg/dL','',''),"
,,,,,,,,,:,,
201,26499-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Neutrophils [#/volume] in Blood (NE #),numeric,10*3/uL,1.8,7.8,Neutrophils [#/volume] in Blood (NE #): 10*3/uL,201,"('201','26499-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Neutrophils [#/volume] in Blood (NE #)','numeric','10*3/uL','1.8','7.8'),"
202,26511-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Neutrophils/100 leukocytes in Blood {NE %},numeric,%,33,73,Neutrophils/100 leukocytes in Blood {NE %}: %,202,"('202','26511-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Neutrophils/100 leukocytes in Blood {NE %}','numeric','%','33','73'),"
203,30451-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Segmented neutrophils [#/volume] in Blood,numeric,10*3/uL,,,Segmented neutrophils [#/volume] in Blood: 10*3/uL,203,"('203','30451-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Segmented neutrophils [#/volume] in Blood','numeric','10*3/uL','',''),"
204,26507-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Band form neutrophils [#/volume] in Blood,numeric,10*3/uL,,,Band form neutrophils [#/volume] in Blood: 10*3/uL,204,"('204','26507-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Band form neutrophils [#/volume] in Blood','numeric','10*3/uL','',''),"
205,769-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Segmented neutrophils/100 leukocytes in Blood by Manual count,numeric,%,43,63,Segmented neutrophils/100 leukocytes in Blood by Manual count: %,205,"('205','769-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Segmented neutrophils/100 leukocytes in Blood by Manual count','numeric','%','43','63'),"
206,751-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Neutrophils [#/volume] in Blood by Automated count,numeric,10*3/uL,,,Neutrophils [#/volume] in Blood by Automated count: 10*3/uL,206,"('206','751-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Neutrophils [#/volume] in Blood by Automated count','numeric','10*3/uL','',''),"
207,13354-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Band form neutrophils/100 leukocytes in Body fluid by Manual count,numeric,%,,,Band form neutrophils/100 leukocytes in Body fluid by Manual count: %,207,"('207','13354-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Band form neutrophils/100 leukocytes in Body fluid by Manual count','numeric','%','',''),"
208,26474-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Lymphocytes [#/volume] in Blood {LY #},numeric,10*3/uL,1.0,4.8,Lymphocytes [#/volume] in Blood {LY #}: 10*3/uL,208,"('208','26474-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Lymphocytes [#/volume] in Blood {LY #}','numeric','10*3/uL','1.0','4.8'),"
209,26478-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Lymphocytes/100 leukocytes in Blood {LY %},numeric,%,13,52,Lymphocytes/100 leukocytes in Blood {LY %}: %,209,"('209','26478-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Lymphocytes/100 leukocytes in Blood {LY %}','numeric','%','13','52'),"
210,732-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Lymphocytes [#/volume] in Blood by Manual count,numeric,10*3/uL,,,Lymphocytes [#/volume] in Blood by Manual count: 10*3/uL,210,"('210','732-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Lymphocytes [#/volume] in Blood by Manual count','numeric','10*3/uL','',''),"
211,26477-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Variant lymphocytes [#/volume] in Blood,numeric,10*3/uL,,,Variant lymphocytes [#/volume] in Blood: 10*3/uL,211,"('211','26477-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Variant lymphocytes [#/volume] in Blood','numeric','10*3/uL','',''),"
212,13046-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Variant lymphocytes/100 leukocytes in Blood,numeric,%,,,Variant lymphocytes/100 leukocytes in Blood: %,212,"('212','13046-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Variant lymphocytes/100 leukocytes in Blood','numeric','%','',''),"
213,737-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Lymphocytes/100 leukocytes in Blood by Manual count,numeric,%,,,Lymphocytes/100 leukocytes in Blood by Manual count: %,213,"('213','737-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Lymphocytes/100 leukocytes in Blood by Manual count','numeric','%','',''),"
214,11031-2,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Lymphocytes/100 leukocytes in Body fluid,numeric,%,,,Lymphocytes/100 leukocytes in Body fluid: %,214,"('214','11031-2','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Lymphocytes/100 leukocytes in Body fluid','numeric','%','',''),"
215,55787-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Lymphocytes [#] in Cerebral spinal fluid by Manual count,numeric,10*3/uL,,,Lymphocytes [#] in Cerebral spinal fluid by Manual count: 10*3/uL,215,"('215','55787-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Lymphocytes [#] in Cerebral spinal fluid by Manual count','numeric','10*3/uL','',''),"
216,26444-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Basophils [#/volume] in Blood {BAS #},numeric,10*3/uL,0,0.2,Basophils [#/volume] in Blood {BAS #}: 10*3/uL,216,"('216','26444-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Basophils [#/volume] in Blood {BAS #}','numeric','10*3/uL','0','0.2'),"
217,30180-4,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Basophils/100 leukocytes in Blood {BAS %},numeric,%,0,2,Basophils/100 leukocytes in Blood {BAS %}: %,217,"('217','30180-4','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Basophils/100 leukocytes in Blood {BAS %}','numeric','%','0','2'),"
218,707-0,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Basophils/100 leukocytes in Blood by Manual count,numeric,%,,,Basophils/100 leukocytes in Blood by Manual count: %,218,"('218','707-0','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Basophils/100 leukocytes in Blood by Manual count','numeric','%','',''),"
219,26449-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Eosinophils [#/volume] in Blood {EOS #},numeric,10*3/uL,0,0.45,Eosinophils [#/volume] in Blood {EOS #}: 10*3/uL,219,"('219','26449-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Eosinophils [#/volume] in Blood {EOS #}','numeric','10*3/uL','0','0.45'),"
220,26450-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Eosinophils/100 leukocytes in Blood {EOS %},numeric,%,0,5,Eosinophils/100 leukocytes in Blood {EOS %}: %,220,"('220','26450-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Eosinophils/100 leukocytes in Blood {EOS %}','numeric','%','0','5'),"
221,714-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Eosinophils/100 leukocytes in Blood by Manual count,numeric,%,,,Eosinophils/100 leukocytes in Blood by Manual count: %,221,"('221','714-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Eosinophils/100 leukocytes in Blood by Manual count','numeric','%','',''),"
222,26452-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Eosinophils/100 leukocytes in Body fluid,numeric,%,,,Eosinophils/100 leukocytes in Body fluid: %,222,"('222','26452-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Eosinophils/100 leukocytes in Body fluid','numeric','%','',''),"
223,26484-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Monocytes [#/volume] in Blood {MO #},numeric,10*3/uL,0,0.8,Monocytes [#/volume] in Blood {MO #}: 10*3/uL,223,"('223','26484-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Monocytes [#/volume] in Blood {MO #}','numeric','10*3/uL','0','0.8'),"
224,5905-5,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Monocytes/100 leukocytes in Blood by Automated count {MO %},numeric,%,0,10,Monocytes/100 leukocytes in Blood by Automated count {MO %}: %,224,"('224','5905-5','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Monocytes/100 leukocytes in Blood by Automated count {MO %}','numeric','%','0','10'),"
225,30394-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Granulocytes [#/volume] in Blood {GR #},numeric,10*3/uL,,,Granulocytes [#/volume] in Blood {GR #}: 10*3/uL,225,"('225','30394-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Granulocytes [#/volume] in Blood {GR #}','numeric','10*3/uL','',''),"
226,30395-8,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Granulocytes/100 leukocytes in Blood {GR %},numeric,%,,,Granulocytes/100 leukocytes in Blood {GR %}: %,226,"('226','30395-8','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Granulocytes/100 leukocytes in Blood {GR %}','numeric','%','',''),"
227,51584-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Immature granulocytes [#/volume] in Blood {IG #},numeric,10*3/uL,,,Immature granulocytes [#/volume] in Blood {IG #}: 10*3/uL,227,"('227','51584-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Immature granulocytes [#/volume] in Blood {IG #}','numeric','10*3/uL','',''),"
228,38518-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Immature granulocytes/100 leukocytes in Blood {IG %},numeric,%,,,Immature granulocytes/100 leukocytes in Blood {IG %}: %,228,"('228','38518-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Immature granulocytes/100 leukocytes in Blood {IG %}','numeric','%','',''),"
229,30446-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Myelocytes [#/volume] in Blood,numeric,10*3/uL,,,Myelocytes [#/volume] in Blood: 10*3/uL,229,"('229','30446-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Myelocytes [#/volume] in Blood','numeric','10*3/uL','',''),"
230,743-5,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Monocytes [#/volume] in Blood by Manual count,numeric,10*3/uL,,,Monocytes [#/volume] in Blood by Manual count: 10*3/uL,230,"('230','743-5','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Monocytes [#/volume] in Blood by Manual count','numeric','10*3/uL','',''),"
231,26498-6,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Myelocytes/100 leukocytes in Blood,numeric,%,0,1,Myelocytes/100 leukocytes in Blood: %,231,"('231','26498-6','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Myelocytes/100 leukocytes in Blood','numeric','%','0','1'),"
232,744-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Monocytes/100 leukocytes in Blood by Manual count,numeric,%,,,Monocytes/100 leukocytes in Blood by Manual count: %,232,"('232','744-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Monocytes/100 leukocytes in Blood by Manual count','numeric','%','',''),"
233,739-3,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Metamyelocytes [#/volume] in Blood by Manual count,numeric,10*3/uL,,,Metamyelocytes [#/volume] in Blood by Manual count: 10*3/uL,233,"('233','739-3','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Metamyelocytes [#/volume] in Blood by Manual count','numeric','10*3/uL','',''),"
234,28541-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Metamyelocytes/100 leukocytes in Blood,numeric,%,0,1,Metamyelocytes/100 leukocytes in Blood: %,234,"('234','28541-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Metamyelocytes/100 leukocytes in Blood','numeric','%','0','1'),"
235,26523-1,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Promyelocytes [#/volume] in Blood,numeric,10*3/uL,,,Promyelocytes [#/volume] in Blood: 10*3/uL,235,"('235','26523-1','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Promyelocytes [#/volume] in Blood','numeric','10*3/uL','',''),"
236,26524-9,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Promyelocytes/100 leukocytes in Blood,numeric,%,0,5,Promyelocytes/100 leukocytes in Blood: %,236,"('236','26524-9','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Promyelocytes/100 leukocytes in Blood','numeric','%','0','5'),"
237,30392-5,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Nucleated erythrocytes [#/volume] in Blood,numeric,10*3/uL,,,Nucleated erythrocytes [#/volume] in Blood: 10*3/uL,237,"('237','30392-5','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Nucleated erythrocytes [#/volume] in Blood','numeric','10*3/uL','',''),"
238,30466-7,f0cb4fa4-43d9-4252-bade-a48f6c66e5e3,CBC,Promonocytes/100 leukocytes in Blood,numeric,%,,,Promonocytes/100 leukocytes in Blood: %,238,"('238','30466-7','f0cb4fa4-43d9-4252-bade-a48f6c66e5e3','CBC','Promonocytes/100 leukocytes in Blood','numeric','%','',''),"
